National Rank,State Rank,Total Enrolled Students,Male %,Female %,White %,Black %,Hispanic %,Asian %,Two or more %,American Indian %,Pacific Islander %,Graduation Rate,Math Proficiency %,English Proficiency %,State Assessment Proficiency Rank US,State Assessment Proficiency Rank AZ,Graduation rate rank US ,Graduation rate rank AZ,Full time Teacher Count,Student Teacher ratio,Student Poverty,Crime Rating,College Readiness Index,Agua Fria High School,Arcadia High School,Barry Goldwater High School,Betty Fairfax High School,Bostrom Alternative Center,Boulder Creek High School,Buckeye Union High School,Cactus Shadows High School ,Carl Hayden High School,"Central High School
",Cesar Chavez High School,Chaparral High School ,Coron Del Sol High School,Coronado High School,Cortez High School,Desert Edge High School,Desert Mountain High School,Desert Vista High School,Dobson High School,Dr. Camille Casteel High School,Dysart High School,East Valley Academy,East Valley High School,Estrella Foothills High School,Franklin Junior High School,Franklin Police And Fire High School,Gilbert Classical Academy High School,Gilbert High School,GreatHearts Academies -Archway Trivium West,Greenway High School,Highland High School,Higley High School,Horizon High School,Ironwood High School,La Joya Community High School,Learning Foundation and Performing Arts Gilbert,Mcclinktok High School,Mesquite High School,Mesquite Jr High School,Metro Tech High School,Millenium High School,Millennium High School,Mountain Ridge High School,Paradise Valley High School,Peoria Flex Academy ,Phoenix Union BioScience High School,Pinnacle High School,Pvonline,Queen Creek High School,Raymond S. Kellis,Roadrunner School ,Sandra Day O' Connor High School,Shadow Mountain High School ,Sierra Linda High School,Sierra Linda high School,Sunflower School,Sunnyslope High School ,Sweetwater Community School,Thunderbird High School,Trevor Browne High School,University High School,Vista Peak,Washington High School,West-Mec- Independence High School,West-Mec-Cactus High School,West-Mec-Central Campus,West-Mec-Copper Canyon High School,West-Mec-Ironwood High School,West-Mec-Mountain Ridge high School,West-Mec-Raymond S. Kellis,West-mec - Sandra Day O'connor High School,Westview High School,Wickenburg High School,Wickenburg Virtual Academy,Williams Field High School,Public,Public ,?,Adams five 12 star schools,Agua Fria Union High School District,Agua Fria Union High School District.,Archway Classical Academy Trivium West,Buckeye Union High School District,Cafa Inc. Dba Learning Foundation and Performing Arts Gilbe School District,Cave Creek Unified District,Chandler Unified District #80,Deer Valley Unified School District,Dysart Unified District,Gilbert Unified District,Gilbert Unified School District,Glendale Union High School District,Higley Unified School District,Legacy Education Group School District,Mesa Unified School District,Paradise Valley Unified School District,Peoria Unified School District,Phoenix Union High School District,Queen Creek Unified District,Scottsdale Unified District,Scottsdale Unified District High Schools,Scottsdale Unified School District,Tempe Union High School,Tempe Union High School District,Tolleson Union High School District,West-Mec - Western Maricopa Education Center School District,Wickenburg Unified District,Anthem,Avondale,Buckeye,El Mirage,Gilbert,Gilbert ,Glendale,GoodYear,Goodyear,Higley,Laveen,Mesa,Mesa ,Peoria,Phoenix,Queen Creek,Scottsdale,Tempe,Tolleson,Wickenburg,85004,85007,85009,85012,85015,85017,85018,85021,85023,85027,85028,85032,85033,85048,85050,85051,85053,85086,85142,85201,85202,85206,85207,85233,85234,85236,85253,85254,85257,85259,85266,85282,85284,85295,85296,85303,85304,85305,85306,85308,85310,85323,85326,85335,85338,85339,85353,85381,85390,85395
5507,88,1625,48,52,51,5.3,37,2.6,1.7,2.2,0.2,94,29,34,6349,138,7529,109,72,23.0,12.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2385,34,2134,49,51,78.9,2.1,10.1,6.1,1.9,0.7,0.2,98,40,35,4284,92,2359,35,90,24.0,3.0,2.3,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9468,165,1843,52,48,10.3,10.2,70.4,3.3,3.7,1.6,0.5,84,13,23,10985,218,14340,222,88,21.0,22.0,3.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2564,40,1802,47,53,1.2,1.2,96.4,0.6,0.2,0.3,0,98,43,33,5624,122,1966,30,102,18.0,90.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10815,191,1718,53,47,23.9,7.5,64.4,0.3,1.4,1.9,0.6,90,14,22,10828,215,10546,149,93,19.0,20.0,2.3,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7964,140,1170,52,48,52.5,5.1,33.2,2.5,4.5,1.5,0.8,95,22,27,7327,150,6023,87,60,19.0,19.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-1,-1,10,100,0,60,0,30,10,0,0,0,-1,30,30,-1,-1,-1,-1,10,1.0,63.0,3.7,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8840,159,2195,51,49,4.6,5.1,86.2,1.6,1.1,1.2,0.2,89,8,17,12925,254,11592,171,92,24.0,23.0,2.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13260,236,1865,50,50,3.3,7.9,85.1,0.9,1.3,0.9,0.6,83,10,14,14579,287,14878,229,84,22.0,25.0,3.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12345,342,89,60,40,60,4,25,1,10,0,0,-1,12,34,11234,567,-1,-1,32,11.0,77.0,1.3,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
